Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Black or African American,2054-5,"Non-Hodgkin lymphoma, unspecified type",C85.9,75-84 years,75-84,Female,F,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,45-54 years,45-54,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,55-64 years,55-64,Female,F,28,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,55-64 years,55-64,Male,M,24,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,65-74 years,65-74,Female,F,34,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,65-74 years,65-74,Male,M,29,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,75-84 years,75-84,Female,F,25,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,75-84 years,75-84,Male,M,25,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple myeloma - Malignant neoplasms,C90.0,85+ years,85+,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,65-74 years,65-74,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute myeloid leukaemia - Malignant neoplasms,C92.0,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute myeloid leukaemia - Malignant neoplasms,C92.0,65-74 years,65-74,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Sickle-cell anaemia without crisis,D57.1,35-44 years,35-44,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Insulin-dependent diabetes mellitus, without complications",E10.9,55-64 years,55-64,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Insulin-dependent diabetes mellitus, without complications",E10.9,65-74 years,65-74,Female,F,22,Not Applicable,Not Applicable
,Black or African American,2054-5,"Insulin-dependent diabetes mellitus, without complications",E10.9,75-84 years,75-84,Female,F,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,55-64 years,55-64,Female,F,18,Not Applicable,Not Applicable
